user,district,is_industrial,timeslot,power,bill,seed
0,0,0,0,53,106,369158612
1,0,0,0,44,88,2124997577
2,0,0,0,84,168,850752742
3,0,1,0,1260,2520,1309105349
4,0,0,0,159,318,81997438
5,0,0,0,35,70,1023753227
6,0,0,0,169,338,249228623
7,0,0,0,113,226,2051475796
8,0,0,0,41,82,1354561659
9,0,1,0,1850,3700,1780150162
10,1,0,0,130,260,31835742
11,1,0,0,131,262,1019112132
12,1,0,0,169,338,388658632
13,1,0,0,101,202,420924609
14,1,0,0,10,20,36717428
15,1,1,0,1780,3560,2134878416
16,1,1,0,750,1500,1210844734
17,1,1,0,420,840,1517787062
18,1,1,0,1620,3240,1311292862
19,1,1,0,1750,3500,2131870298
20,2,0,0,5,10,1518240533
21,2,0,0,89,178,1183407330
22,2,0,0,105,210,2049316400
23,2,1,0,1140,2280,1410510552
24,2,0,0,124,248,600976203
25,2,0,0,46,92,1084516467
26,2,0,0,69,138,2002565970
27,2,0,0,44,88,578627527
28,2,0,0,171,342,1207267080
29,2,1,0,1710,3420,1293643506
30,3,0,0,72,144,1931324067
31,3,0,0,15,30,1584178870
32,3,0,0,19,38,1365953968
33,3,1,0,950,1900,141718942
34,3,0,0,20,40,278336415
35,3,0,0,171,342,1290027385
36,3,0,0,117,234,496458813
37,3,0,0,163,326,853306221
38,3,0,0,169,338,806161563
39,3,0,0,164,328,305461583
40,4,0,0,48,96,1956298723
41,4,0,0,93,186,1858918434
42,4,0,0,175,350,1353072805
43,4,1,0,1600,3200,331281021
44,4,0,0,126,252,2119048696
45,4,1,0,90,180,1322684235
46,4,0,0,111,222,1984108509
47,4,0,0,170,340,2041450245
48,4,0,0,182,364,2141821632
49,4,0,0,80,160,906643473
50,5,0,0,4,8,104729929
51,5,0,0,63,126,311280742
52,5,0,0,164,328,445761455
53,5,0,0,108,216,1063933940
54,5,0,0,51,102,1829779882
55,5,0,0,38,76,128354544
56,5,0,0,112,224,1614773096
57,5,0,0,164,328,10293913
58,5,0,0,187,374,208665049
59,5,0,0,118,236,1530098606
60,6,0,0,119,238,28767948
61,6,0,0,102,204,1890412469
62,6,0,0,55,110,1971389493
63,6,0,0,74,148,919857856
64,6,0,0,86,172,1913216655
65,6,0,0,67,134,931798450
66,6,0,0,69,138,849967397
67,6,0,0,187,374,1261303124
68,6,0,0,134,268,1117472198
69,6,0,0,172,344,303235352
70,7,0,0,35,70,826741635
71,7,0,0,167,334,1085032103
72,7,0,0,139,278,852659238
73,7,0,0,188,376,682405356
74,7,1,0,870,1740,1398699019
75,7,0,0,65,130,1669247358
76,7,0,0,146,292,1201953106
77,7,0,0,6,12,1425328866
78,7,0,0,169,338,868401207
79,7,0,0,53,106,1579635868
80,8,1,0,440,880,2030086340
81,8,1,0,1770,3540,894091681
82,8,0,0,47,94,842882939
83,8,0,0,46,92,1272925228
84,8,0,0,160,320,2020002789
85,8,0,0,79,158,1149871272
86,8,0,0,112,224,1994159090
87,8,0,0,102,204,761417303
88,8,0,0,13,26,1203305551
89,8,0,0,37,74,1478677278
90,9,1,0,1620,3240,1023838299
91,9,0,0,6,12,648866257
92,9,0,0,57,114,169350705
93,9,0,0,73,146,961659986
94,9,1,0,640,1280,203906959
95,9,0,0,8,16,1077112530
96,9,1,0,1880,3760,47776480
97,9,0,0,25,50,2043114121
98,9,0,0,44,88,1677910922
99,9,0,0,24,48,1988802913
0,0,0,1,86,172,353256053
1,0,0,1,55,110,620275726
2,0,0,1,74,148,2021256114
3,0,1,1,1260,2520,1915590274
4,0,0,1,152,304,1716759213
5,0,0,1,92,184,1158774387
6,0,0,1,16,32,1206363723
7,0,0,1,13,26,1059572028
8,0,0,1,154,308,1305540916
9,0,1,1,370,740,1445820410
10,1,0,1,6,12,70539012
11,1,0,1,114,228,2016436322
12,1,0,1,46,92,567061071
13,1,0,1,155,310,1336627051
14,1,0,1,54,108,1504727865
15,1,1,1,1630,3260,1558881957
16,1,1,1,620,1240,1177150833
17,1,1,1,710,1420,925821742
18,1,1,1,1130,2260,1720659388
19,1,1,1,1160,2320,2110474735
20,2,0,1,135,270,718061168
21,2,0,1,48,96,1994319535
22,2,0,1,49,98,1819251256
23,2,1,1,1580,3160,61583279
24,2,0,1,14,28,1891609208
25,2,0,1,26,52,798654796
26,2,0,1,8,16,1609447144
27,2,0,1,36,72,103221129
28,2,0,1,43,86,780904757
29,2,1,1,940,1880,2021713717
30,3,0,1,194,388,1179130053
31,3,0,1,86,172,2102997042
32,3,0,1,127,254,1396188425
33,3,1,1,380,760,212661384
34,3,0,1,113,226,513844200
35,3,0,1,56,112,1357381125
36,3,0,1,181,362,497830903
37,3,0,1,92,184,1308634536
38,3,0,1,55,110,223036091
39,3,0,1,152,304,915696027
40,4,0,1,157,314,1670677465
41,4,0,1,7,14,2071317154
42,4,0,1,180,360,835924600
43,4,1,1,70,140,322676658
44,4,0,1,61,122,1150830081
45,4,1,1,630,1260,1027468124
46,4,0,1,118,236,1585865701
47,4,0,1,192,384,198691828
48,4,0,1,171,342,1836604028
49,4,0,1,182,364,1060844707
50,5,0,1,117,234,184183118
51,5,0,1,79,158,186403283
52,5,0,1,189,378,298063549
53,5,0,1,44,88,1733939787
54,5,0,1,53,106,659070311
55,5,0,1,62,124,820557085
56,5,0,1,7,14,1935596810
57,5,0,1,59,118,1169723351
58,5,0,1,36,72,216481046
59,5,0,1,112,224,1060479124
60,6,0,1,148,296,721121023
61,6,0,1,149,298,200915767
62,6,0,1,30,60,1749963118
63,6,0,1,143,286,1989482903
64,6,0,1,108,216,113140447
65,6,0,1,58,116,192329878
66,6,0,1,74,148,874655802
67,6,0,1,126,252,457540831
68,6,0,1,93,186,1158117705
69,6,0,1,36,72,1343550601
70,7,0,1,197,394,1330099088
71,7,0,1,25,50,1891370129
72,7,0,1,119,238,970356439
73,7,0,1,155,310,282726398
