user,district,is_industrial,timeslot,power,bill,seed
0,0,0,100,41,82,367032962
1,8,1,100,730,1460,1235327877
2,5,0,100,72,144,1756397850
3,5,0,100,16,32,2015827009
4,8,1,100,1050,2100,1783236705
5,3,0,100,158,316,1040075939
6,7,1,100,830,1660,363574280
7,1,0,100,74,148,1479422633
8,2,0,100,140,280,2033101128
9,6,1,100,1770,3540,502709114
10,2,0,100,161,322,1985471095
11,0,0,100,151,302,253728308
12,1,1,100,1470,2940,1154386152
13,3,0,100,120,240,1779315390
14,4,1,100,390,780,1751901
15,0,0,100,129,258,1435090989
16,0,0,100,14,28,1680716181
17,6,0,100,77,154,503124659
18,1,0,100,184,368,1793584272
19,8,0,100,3,6,1405326375
20,4,0,100,191,382,805187864
21,4,0,100,50,100,1367675814
22,6,0,100,128,256,96701130
23,1,1,100,1760,3520,1858139163
24,1,0,100,133,266,639480008
25,1,0,100,185,370,1135811732
26,1,0,100,127,254,1188841209
28,8,0,100,196,392,1219526929
29,6,0,100,173,346,1812820444
30,2,0,100,4,8,1725530218
31,4,0,100,19,38,1310458209
32,2,0,100,78,156,828946002
33,7,1,100,1380,2760,1122214598
34,1,0,100,195,390,619966498
35,7,0,100,13,26,1578089121
36,0,0,100,115,230,823382790
37,0,0,100,81,162,606118352
39,9,0,100,72,144,34568801
40,4,0,100,2,4,730933869
41,2,1,100,670,1340,1035005118
42,4,1,100,630,1260,601905477
43,4,0,100,151,302,2070488766
44,0,1,100,1460,2920,263866027
45,6,1,100,1830,3660,116191418
46,0,0,100,28,56,330733594
47,7,0,100,93,186,1476932013
48,7,0,100,120,240,1183487271
49,6,0,100,191,382,1929425205
50,7,0,100,166,332,1069080614
51,8,0,100,41,82,2125734524
53,2,1,100,260,520,1036946600
54,8,0,100,120,240,46510141
55,0,0,100,6,12,892223541
56,8,0,100,22,44,1823550513
57,6,0,100,65,130,282222744
58,0,0,100,191,382,500578882
59,1,0,100,192,384,551957933
61,0,0,100,91,182,1101073379
62,5,0,100,133,266,535694608
63,1,0,100,13,26,2080049885
64,4,0,100,28,56,340234987
65,8,0,100,34,68,808546702
66,4,0,100,23,46,38454032
67,2,0,100,34,68,486096081
68,7,0,100,52,104,1853790074
70,0,0,100,64,128,187722123
71,3,1,100,1110,2220,1231645353
72,3,0,100,2,4,752968975
73,5,0,100,67,134,905749714
75,2,0,100,49,98,1882573108
76,0,1,100,1360,2720,1394209115
77,8,0,100,141,282,1747053319
78,9,0,100,31,62,1721550576
79,8,1,100,460,920,921187729
80,5,0,100,57,114,465480436
81,9,1,100,1560,3120,668672313
82,6,0,100,186,372,135119158
83,7,0,100,72,144,1133681082
84,2,1,100,800,1600,1434867765
85,6,0,100,5,10,419262881
86,0,0,100,98,196,1815043189
87,9,0,100,124,248,321866225
89,7,0,100,97,194,22804372
90,2,0,100,3,6,977979815
91,2,0,100,119,238,653022681
92,4,0,100,24,48,371189290
93,2,0,100,116,232,882509488
94,4,1,100,1980,3960,1605963244
95,3,0,100,30,60,2104823073
96,8,1,100,950,1900,1921437798
97,0,0,100,56,112,1474503617
98,6,0,100,161,322,940486285
99,6,0,100,176,352,542174267
